When,What,Tag
R & Rstudio,"Package development,  data visualisation, biostatistics, machine learning",skills
Shiny,Interactive web applications & dashboards,skills
R Markdown,Static & interactive reports & presentations,skills
SQL,Database design and querying,skills
Linux/Bash,"Automation, file management",skills
Git & Github,Version control & collaboration,skills
Python,Data analysis & automation,skills
Regular Expressions,String manipulation,skills
SPSS,Statistical analysis,skills
Amazon Web Services (AWS),Web application/database hosting,skills
Docker,Containerisation of data science environments,
"Javascript, HTML, CSS, Webflow","Web development, front-end design & styling ",skills
Microsoft Office,Data collection & storage/presentations/documents,skills
French Language,Fluent written & spoken communication,skills
